,Auckland,Hamilton,Tauranga,Wellington,Christchurch,Dunedin,Whangarei,Rotorua,Gisborne,Hastings,Napier,New Plymouth,Whanganui,Palmerston North,Kapiti Coast,Nelson,Invercargill,Cambridge,Te Awamutu,Tokoroa,Taupo,Whakatane,Feilding,Levin,Masterton,Blenheim,Greymouth,Ashburton,Timaru,Oamaru,Queenstown,Kaitaia,Kerikeri,Warkworth,Whitianga,Thames,Waihi,Huntly,Morrinsville,Matamata,Katikati,Te Puke,Kawerau,Stratford,Hawera,Marton,Dannevirke,Otaki,Motueka,Cromwell,Alexandra,Wanaka,Gore
u5.0km_u50deg,47.51,76.27,42.88,60.07,77.27,67.29,68.68,33.01,57.66,77.30,27.72,48.13,72.05,76.59,55.46,48.50,71.74,77.03,77.67,78.24,68.63,25.08,77.39,74.87,77.30,77.73,51.18,77.65,47.16,48.17,49.81,78.21,74.86,75.16,49.41,47.43,77.38,68.25,78.29,78.25,59.34,77.56,76.86,78.32,78.33,78.25,77.43,63.30,40.92,69.32,75.59,62.51,76.47
u5.0km_u55deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.54,48.63,71.74,77.03,77.67,78.24,68.63,25.12,77.39,74.87,77.30,77.73,51.25,77.65,47.16,48.17,50.61,78.21,74.86,75.16,49.41,47.45,77.38,68.26,78.29,78.25,59.34,77.58,76.97,78.32,78.33,78.25,77.43,63.30,40.92,69.41,75.62,62.64,76.47
u5.0km_u60deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,50.96,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.69,76.47
u5.0km_u65deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,51.05,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.70,76.47
u5.0km_u70deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,51.08,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.70,76.47
u5.0km_u75deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,51.09,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.70,76.47
u5.0km_u80deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,51.09,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.70,76.47
u5.0km_u85deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,51.09,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.70,76.47
u5.0km_u90deg,47.51,76.27,42.88,60.12,77.27,67.29,68.70,33.02,57.67,77.30,27.72,48.13,72.05,76.59,55.55,48.64,71.74,77.03,77.67,78.24,68.63,25.13,77.39,74.87,77.30,77.73,51.27,77.65,47.16,48.17,51.09,78.21,74.86,75.16,49.41,47.46,77.38,68.26,78.29,78.25,59.34,77.58,76.99,78.32,78.33,78.25,77.43,63.30,40.92,69.43,75.63,62.70,76.47
u10.0km_u0deg,0.04,0.05,0.02,0.02,0.10,0.06,0.04,0.06,0.02,0.07,0.06,0.09,0.10,0.07,0.03,0.03,0.20,0.02,0.02,0.08,0.05,0.02,0.14,0.18,0.12,0.13,0.08,0.06,0.15,0.06,0.08,0.08,0.18,0.02,0.02,0.01,0.02,0.22,0.05,0.07,0.02,0.07,0.12,0.03,0.03,0.14,0.09,0.11,0.03,0.09,0.13,0.12,0.14
u10.0km_u5deg,142.82,293.49,122.12,32.76,229.73,60.79,107.04,124.05,93.63,262.36,102.39,115.33,151.13,261.26,69.65,32.87,276.35,230.18,276.20,187.77,153.77,76.73,270.38,223.95,242.27,216.05,66.90,310.08,166.49,117.57,34.04,183.27,159.23,88.76,74.94,59.67,102.27,192.55,277.08,265.07,93.57,178.71,124.02,254.39,236.97,263.85,201.19,140.42,78.18,54.42,133.35,110.98,193.65
u10.0km_u10deg,177.02,305.25,145.65,61.35,239.30,114.93,166.12,171.48,111.94,276.10,109.03,146.45,178.88,279.67,89.85,47.70,277.33,259.28,300.28,242.14,213.04,85.72,295.19,246.42,264.19,228.55,95.08,310.08,180.50,146.62,57.68,224.58,218.46,148.09,120.81,80.21,161.00,229.76,297.09,294.03,129.64,209.24,178.12,287.85,273.56,283.09,253.86,154.82,97.80,90.69,202.75,137.95,244.83
u10.0km_u15deg,186.72,307.95,159.01,90.20,250.21,157.10,203.51,196.02,132.01,286.41,114.40,159.81,197.10,291.33,108.61,67.23,277.52,280.48,305.55,268.79,239.15,94.14,304.35,261.40,281.03,242.66,120.64,310.08,184.15,160.29,80.79,256.22,250.04,196.26,163.05,105.67,210.13,252.22,306.39,304.59,157.26,231.15,217.93,299.56,288.32,292.52,279.21,165.87,114.98,134.01,245.76,159.22,272.63
u10.0km_u20deg,189.89,308.75,167.31,118.38,260.39,185.36,229.83,210.94,150.67,294.22,118.71,166.60,211.50,299.29,126.71,90.34,277.57,295.14,307.41,285.38,254.24,102.12,308.34,274.24,293.89,257.88,141.87,310.08,185.66,167.96,106.48,276.76,268.39,232.04,196.33,131.34,247.89,269.11,310.86,309.20,179.05,248.22,248.76,306.02,297.92,299.31,293.53,176.85,131.10,179.63,272.02,180.11,289.17
u10.0km_u25deg,191.09,309.02,172.50,144.13,268.98,203.17,249.52,220.29,165.88,299.57,121.84,170.25,222.73,304.24,143.43,113.70,277.57,303.64,308.52,296.63,263.94,109.12,310.43,285.17,302.66,271.88,157.96,310.08,186.42,172.37,134.63,288.15,278.85,255.10,218.84,153.91,273.95,281.85,312.66,311.39,196.00,261.23,272.13,310.01,304.70,304.35,302.16,187.41,145.31,220.23,288.09,200.62,299.29
u10.0km_u30deg,191.53,309.09,175.35,165.79,275.67,213.15,262.54,225.91,176.56,302.76,123.57,172.01,230.85,306.95,158.09,135.74,277.57,307.33,309.28,304.06,270.03,114.56,311.39,293.73,307.54,281.82,168.91,310.08,186.75,174.58,162.51,293.59,283.83,267.06,231.78,171.61,290.27,289.64,313.14,312.34,208.68,270.29,288.92,312.25,309.48,307.75,306.94,196.64,156.47,252.02,297.76,219.40,305.14
u10.0km_u35deg,191.72,309.10,176.65,182.54,280.06,218.02,269.48,228.96,183.38,304.33,124.25,172.68,235.60,308.14,170.01,155.60,277.57,308.53,309.62,308.47,273.28,118.10,311.67,299.37,309.81,287.53,175.44,310.08,186.87,175.42,187.73,295.66,285.43,272.06,237.81,183.11,299.28,293.35,313.24,312.68,217.34,275.87,299.39,313.17,312.08,309.54,309.07,203.25,163.51,273.63,303.16,235.88,308.15
u10.0km_u40deg,191.77,309.10,177.22,192.85,282.41,219.89,272.36,230.38,186.93,305.05,124.45,172.84,237.60,308.55,177.74,170.11,277.57,308.86,309.74,311.02,274.93,119.87,311.71,302.40,310.55,289.81,178.69,310.08,186.89,175.64,208.12,296.23,285.85,273.64,240.04,189.04,303.23,294.66,313.26,312.80,222.48,279.01,305.07,313.41,313.03,310.21,309.81,206.88,166.61,286.20,305.95,248.74,309.46
u10.0km_u45deg,191.79,309.10,177.45,198.05,283.54,220.51,273.31,230.97,188.41,305.36,124.51,172.87,238.29,308.67,181.68,178.09,277.57,308.96,309.75,312.36,275.64,120.68,311.71,303.67,310.74,290.60,180.17,310.08,186.89,175.69,222.36,296.39,285.93,274.08,240.73,191.46,304.71,295.08,313.26,312.84,224.91,280.69,307.91,313.47,313.34,310.42,310.03,208.44,167.66,292.63,307.27,257.19,309.92
u10.0km_u50deg,191.80,309.10,177.54,200.10,283.95,220.66,273.54,231.16,188.88,305.48,124.52,172.88,238.48,308.71,183.28,181.57,277.57,308.98,309.76,312.87,275.89,121.01,311.71,304.04,310.77,290.79,180.79,310.08,186.89,175.70,231.07,296.42,285.94,274.17,240.90,192.23,305.19,295.14,313.26,312.85,225.78,281.42,309.00,313.48,313.39,310.47,310.08,208.98,167.93,295.42,307.81,262.01,310.01
u10.0km_u55deg,191.80,309.10,177.55,200.62,284.07,220.71,273.58,231.21,188.97,305.52,124.53,172.89,238.50,308.72,183.67,182.67,277.57,308.98,309.76,313.01,275.95,121.14,311.71,304.09,310.78,290.81,180.98,310.08,186.89,175.71,235.25,296.43,285.94,274.18,240.93,192.42,305.27,295.15,313.26,312.85,225.99,281.65,309.31,313.49,313.40,310.47,310.08,209.07,167.98,296.37,308.00,264.08,310.01
u10.0km_u60deg,191.80,309.10,177.56,200.68,284.09,220.74,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.72,182.81,277.57,308.98,309.76,313.04,275.96,121.18,311.71,304.09,310.78,290.82,181.01,310.08,186.89,175.71,236.85,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.36,313.49,313.40,310.47,310.08,209.08,167.98,296.66,308.06,264.66,310.01
u10.0km_u65deg,191.80,309.10,177.56,200.68,284.09,220.75,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.73,182.82,277.57,308.98,309.76,313.04,275.96,121.19,311.71,304.09,310.78,290.82,181.02,310.08,186.89,175.71,237.28,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.37,313.49,313.40,310.47,310.08,209.08,167.98,296.72,308.06,264.77,310.01
u10.0km_u70deg,191.80,309.10,177.56,200.68,284.09,220.75,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.73,182.82,277.57,308.98,309.76,313.04,275.96,121.20,311.71,304.09,310.78,290.82,181.02,310.08,186.89,175.71,237.42,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.37,313.49,313.40,310.47,310.08,209.08,167.98,296.72,308.06,264.77,310.01
u10.0km_u75deg,191.80,309.10,177.56,200.68,284.09,220.75,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.73,182.82,277.57,308.98,309.76,313.04,275.96,121.20,311.71,304.09,310.78,290.82,181.02,310.08,186.89,175.71,237.44,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.37,313.49,313.40,310.47,310.08,209.08,167.98,296.72,308.06,264.77,310.01
u10.0km_u80deg,191.80,309.10,177.56,200.68,284.09,220.75,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.73,182.82,277.57,308.98,309.76,313.04,275.96,121.20,311.71,304.09,310.78,290.82,181.02,310.08,186.89,175.71,237.44,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.37,313.49,313.40,310.47,310.08,209.08,167.98,296.72,308.06,264.77,310.01
u10.0km_u85deg,191.80,309.10,177.56,200.68,284.09,220.75,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.73,182.82,277.57,308.98,309.76,313.04,275.96,121.20,311.71,304.09,310.78,290.82,181.02,310.08,186.89,175.71,237.44,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.37,313.49,313.40,310.47,310.08,209.08,167.98,296.72,308.06,264.77,310.01
u10.0km_u90deg,191.80,309.10,177.56,200.68,284.09,220.75,273.59,231.22,188.98,305.53,124.53,172.89,238.50,308.72,183.73,182.82,277.57,308.98,309.76,313.04,275.96,121.20,311.71,304.09,310.78,290.82,181.02,310.08,186.89,175.71,237.44,296.43,285.94,274.18,240.93,192.45,305.28,295.16,313.26,312.85,226.03,281.73,309.37,313.49,313.40,310.47,310.08,209.08,167.98,296.72,308.06,264.77,310.01
u15.0km_u0deg,0.10,0.12,0.03,0.07,0.18,0.11,0.11,0.36,0.08,0.34,0.11,0.13,0.17,0.17,0.06,0.06,0.33,0.13,0.06,0.13,0.09,0.04,0.33,0.35,0.32,0.19,0.12,0.13,0.22,0.14,0.19,0.18,0.23,0.04,0.03,0.02,0.04,0.34,0.12,0.18,0.07,0.10,0.35,0.15,0.09,0.29,0.19,0.17,0.05,0.20,0.27,0.25,0.27
u15.0km_u5deg,311.09,660.29,222.52,73.53,432.85,116.46,246.94,288.13,191.81,426.43,215.39,254.15,254.17,519.06,99.57,90.15,583.95,486.31,590.26,351.60,325.14,163.94,606.45,370.77,420.77,309.80,139.25,700.17,350.38,276.85,61.64,290.92,306.43,163.18,124.93,159.66,156.49,434.06,589.59,514.87,214.42,304.66,266.80,515.60,495.97,526.55,332.78,213.69,134.65,93.27,245.00,211.29,434.24
u15.0km_u10deg,386.06,685.61,287.44,124.40,452.24,208.49,380.94,416.80,230.26,489.56,240.85,317.09,310.84,572.85,138.64,125.85,586.65,573.34,651.82,495.85,445.11,186.42,663.86,408.79,498.66,345.19,193.06,700.17,385.01,334.77,105.67,382.79,436.44,278.53,214.61,204.38,261.47,516.97,644.72,604.32,297.19,384.93,383.16,607.06,572.21,593.06,448.99,243.56,193.54,177.51,402.67,273.54,558.66
u15.0km_u15deg,407.49,692.11,330.19,177.60,474.61,286.62,464.67,486.63,274.73,539.23,264.95,344.21,353.73,610.25,180.32,176.01,587.42,633.09,674.85,573.42,498.21,208.65,684.83,438.89,563.69,388.59,241.21,700.17,396.69,361.77,152.49,458.57,510.77,382.17,304.61,260.12,363.35,566.99,674.96,648.08,362.22,440.11,471.85,644.37,608.94,629.79,522.32,271.78,239.28,277.49,509.70,327.72,620.98
u15.0km_u20deg,415.07,694.34,358.80,231.31,495.46,344.72,524.65,530.66,319.56,576.89,286.07,359.10,391.78,639.25,224.31,233.88,587.72,669.26,686.73,622.83,529.54,230.54,694.13,470.25,616.68,438.98,284.71,700.17,402.26,375.94,209.41,511.52,555.83,464.19,380.76,315.62,447.47,600.47,691.78,672.14,413.22,479.33,542.38,668.42,638.09,655.80,576.48,303.59,280.30,383.34,581.87,383.59,656.61
u15.0km_u25deg,418.26,695.28,377.48,281.46,512.86,386.22,570.08,559.64,358.03,602.56,302.23,367.81,424.67,661.13,267.62,289.56,587.78,687.58,693.40,656.59,549.84,250.42,698.79,502.04,655.05,488.94,321.20,700.17,405.25,383.45,275.60,543.62,581.89,519.23,437.18,363.38,508.61,623.86,700.17,685.80,452.37,507.14,597.19,685.32,662.68,674.67,618.10,337.22,316.04,481.02,630.30,439.77,678.09
u15.0km_u30deg,419.56,695.56,388.45,324.17,525.67,413.87,599.78,578.22,386.50,617.15,311.90,372.58,450.93,677.09,307.11,339.76,587.80,694.63,696.61,678.98,562.76,266.06,700.83,532.37,679.22,532.72,348.57,700.17,406.75,387.01,345.75,561.42,594.57,549.41,473.68,400.02,548.60,637.53,703.60,693.80,481.27,525.55,637.15,696.58,682.90,687.15,649.43,369.87,345.57,560.91,661.37,491.56,690.53
u15.0km_u35deg,420.07,695.63,394.02,357.12,533.82,429.86,614.44,589.09,404.85,623.85,316.15,374.78,468.92,687.32,341.77,381.76,587.80,696.72,697.78,692.39,569.96,276.12,701.44,559.90,692.49,566.20,366.59,700.17,407.40,388.30,414.88,569.94,599.20,562.41,493.33,423.93,571.53,643.68,704.73,698.65,500.96,536.13,662.35,702.36,696.09,693.81,672.11,398.87,367.71,617.74,679.52,536.73,696.71
u15.0km_u40deg,420.23,695.64,396.49,377.31,538.30,437.41,620.04,594.94,414.23,626.41,317.45,375.54,478.44,692.46,367.29,409.82,587.80,697.27,698.10,699.76,573.52,280.93,701.53,581.79,698.05,585.10,376.45,700.17,407.60,388.64,476.13,573.52,600.61,566.97,501.95,436.75,582.51,645.83,705.06,701.77,512.79,541.63,675.88,704.48,701.93,696.45,687.46,419.85,380.84,651.92,688.92,571.41,699.33
u15.0km_u45deg,420.28,695.64,397.51,387.47,540.50,440.35,621.78,597.80,418.14,627.31,317.77,375.83,482.58,694.61,382.30,424.48,587.80,697.40,698.14,703.21,575.13,282.92,701.54,594.97,700.07,593.65,381.53,700.17,407.68,388.70,523.21,574.79,601.01,568.28,505.21,442.36,587.10,646.44,705.13,703.41,518.64,544.31,682.56,705.18,704.01,697.34,696.11,431.24,387.59,669.47,693.14,594.11,700.23
u15.0km_u50deg,420.29,695.64,397.85,391.63,541.30,441.23,622.19,598.93,419.42,627.60,317.83,375.92,484.09,695.29,389.37,430.65,587.80,697.43,698.15,704.53,575.80,283.62,701.54,600.98,700.70,596.73,384.01,700.17,407.69,388.71,553.93,575.16,601.10,568.56,506.29,444.47,588.77,646.55,705.15,704.14,520.91,545.40,685.34,705.33,704.55,697.56,699.89,436.10,390.79,676.90,694.74,606.83,700.39
u15.0km_u55deg,420.29,695.64,397.92,392.78,541.54,441.43,622.25,599.28,419.69,627.67,317.83,375.95,484.46,695.40,391.72,432.52,587.80,697.44,698.16,704.85,576.02,283.84,701.54,603.04,700.82,597.33,385.00,700.17,407.69,388.72,570.27,575.23,601.11,568.60,506.58,445.16,589.21,646.57,705.15,704.41,521.54,545.73,686.22,705.36,704.63,697.59,701.10,437.48,392.18,679.33,695.19,612.12,700.40
u15.0km_u60deg,420.29,695.64,397.93,392.95,541.59,441.47,622.25,599.35,419.72,627.68,317.83,375.96,484.53,695.41,392.17,432.78,587.80,697.44,698.16,704.90,576.09,283.90,701.54,603.39,700.83,597.39,385.28,700.17,407.69,388.72,576.77,575.24,601.12,568.60,506.63,445.38,589.29,646.58,705.15,704.48,521.65,545.83,686.43,705.36,704.64,697.59,701.27,437.67,392.68,679.93,695.29,613.53,700.40
u15.0km_u65deg,420.29,695.64,397.93,392.97,541.59,441.48,622.25,599.36,419.73,627.68,317.83,375.96,484.53,695.41,392.21,432.80,587.80,697.44,698.16,704.90,576.11,283.92,701.54,603.41,700.83,597.40,385.35,700.17,407.69,388.72,578.67,575.24,601.12,568.60,506.64,445.42,589.30,646.58,705.15,704.49,521.67,545.84,686.48,705.36,704.64,697.59,701.28,437.68,392.82,680.02,695.31,613.75,700.40
u15.0km_u70deg,420.29,695.64,397.93,392.97,541.59,441.49,622.25,599.36,419.73,627.68,317.83,375.96,484.53,695.41,392.21,432.80,587.80,697.44,698.16,704.90,576.11,283.92,701.54,603.41,700.83,597.40,385.35,700.17,407.69,388.72,579.10,575.24,601.12,568.60,506.64,445.43,589.30,646.58,705.15,704.49,521.67,545.84,686.50,705.36,704.64,697.59,701.28,437.68,392.83,680.03,695.31,613.78,700.40
u15.0km_u75deg,420.29,695.64,397.93,392.97,541.59,441.49,622.25,599.36,419.73,627.68,317.83,375.96,484.53,695.41,392.21,432.80,587.80,697.44,698.16,704.90,576.11,283.92,701.54,603.41,700.83,597.40,385.35,700.17,407.69,388.72,579.16,575.24,601.12,568.60,506.64,445.43,589.30,646.58,705.15,704.49,521.67,545.84,686.50,705.36,704.64,697.59,701.28,437.68,392.83,680.03,695.31,613.78,700.40
u15.0km_u80deg,420.29,695.64,397.93,392.97,541.59,441.49,622.25,599.36,419.73,627.68,317.83,375.96,484.53,695.41,392.21,432.80,587.80,697.44,698.16,704.90,576.11,283.92,701.54,603.41,700.83,597.40,385.35,700.17,407.69,388.72,579.16,575.24,601.12,568.60,506.64,445.43,589.30,646.58,705.15,704.49,521.67,545.84,686.50,705.36,704.64,697.59,701.28,437.68,392.83,680.03,695.31,613.78,700.40
u15.0km_u85deg,420.29,695.64,397.93,392.97,541.59,441.49,622.25,599.36,419.73,627.68,317.83,375.96,484.53,695.41,392.21,432.80,587.80,697.44,698.16,704.90,576.11,283.92,701.54,603.41,700.83,597.40,385.35,700.17,407.69,388.72,579.16,575.24,601.12,568.60,506.64,445.43,589.30,646.58,705.15,704.49,521.67,545.84,686.50,705.36,704.64,697.59,701.28,437.68,392.83,680.03,695.31,613.78,700.40
u15.0km_u90deg,420.29,695.64,397.93,392.97,541.59,441.49,622.25,599.36,419.73,627.68,317.83,375.96,484.53,695.41,392.21,432.80,587.80,697.44,698.16,704.90,576.11,283.92,701.54,603.41,700.83,597.40,385.35,700.17,407.69,388.72,579.16,575.24,601.12,568.60,506.64,445.43,589.30,646.58,705.15,704.49,521.67,545.84,686.50,705.36,704.64,697.59,701.28,437.68,392.83,680.03,695.31,613.78,700.40
u20.0km_u0deg,0.14,0.22,0.08,0.09,0.28,0.18,0.21,0.50,0.17,0.53,0.23,0.15,0.27,0.31,0.09,0.10,0.55,0.24,0.14,0.22,0.13,0.14,0.47,0.54,0.52,0.25,0.29,0.24,0.28,0.29,0.36,0.27,0.31,0.07,0.04,0.04,0.11,0.58,0.21,0.32,0.13,0.16,0.40,0.21,0.18,0.55,0.31,0.22,0.09,0.35,0.47,0.42,0.50
u20.0km_u5deg,486.40,1051.39,365.79,110.58,711.90,181.93,493.73,516.45,262.88,601.14,372.76,420.17,372.96,875.88,158.56,163.38,952.69,828.84,923.49,568.29,563.56,295.63,1049.74,525.62,587.15,455.20,265.80,1236.33,582.13,476.21,98.34,427.45,447.71,281.83,151.42,323.04,318.87,756.03,1052.70,795.38,431.90,479.42,458.85,785.16,820.29,861.38,458.41,310.91,205.27,197.36,389.29,270.73,753.41
